ensembl_gene_id	external_gene_name	gene_biotype	go_id	name_1006
WBGene00020444	T12B3.1	protein_coding	GO:0016791; GO:0016311; GO:0016787; GO:0005737; GO:0060271; GO:0004721; GO:0008138; GO:0004725; GO:0006470	phosphatase activity; dephosphorylation; hydrolase activity; cytoplasm; cilium assembly; phosphoprotein phosphatase activity; protein tyrosine/serine/threonine phosphatase activity; protein tyrosine phosphatase activity; protein dephosphorylation
WBGene00020445	T12B3.2	protein_coding	GO:0016020; GO:0055085; GO:0022857	membrane; transmembrane transport; transmembrane transporter activity
WBGene00020446	T12B3.3	protein_coding	GO:0016020; GO:0005886; GO:0006629; GO:0008081; GO:0006644; GO:0070291; GO:0008889; GO:0006580	membrane; plasma membrane; lipid metabolic process; phosphoric diester hydrolase activity; phospholipid metabolic process; N-acylethanolamine metabolic process; glycerophosphodiester phosphodiesterase activity; ethanolamine metabolic process
WBGene00020447	mob-3	protein_coding		
WBGene00020448	fbxa-51	protein_coding	GO:0005515	protein binding
WBGene00020449	fbxa-54	protein_coding	GO:0005515	protein binding
WBGene00020450	fbxa-10	protein_coding	GO:0005515	protein binding
WBGene00020451	fbxa-11	protein_coding	GO:0005515	protein binding
WBGene00020452	fbxa-22	protein_coding		
WBGene00020453	fbxa-55	protein_coding	; GO:0005515	; protein binding
WBGene00020454	fbxa-56	protein_coding		
WBGene00020455	fbxa-59	protein_coding	GO:0005515	protein binding
WBGene00020456	fbxa-60	protein_coding	GO:0005515	protein binding
WBGene00020457	fbxa-67	protein_coding	GO:0005515	protein binding
WBGene00020458		pseudogene		
WBGene00020459		pseudogene		
WBGene00020460	nhr-273	protein_coding	GO:0008270; GO:0006355; GO:0003700; GO:0043565	zinc ion binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity; sequence-specific DNA binding
WBGene00020461	T12C9.7	protein_coding	GO:0005634; GO:0005737; GO:0007049; GO:0022414; GO:0044772; GO:0016538; GO:0097124	nucleus; cytoplasm; cell cycle; reproductive process; mitotic cell cycle phase transition; cyclin-dependent protein serine/threonine kinase regulator activity; cyclin A2-CDK2 complex
WBGene00020462	ari-2	protein_coding	GO:0008270; GO:0004842; GO:0016567	zinc ion binding; ubiquitin-protein transferase activity; protein ubiquitination
WBGene00020463	cec-6	protein_coding		
WBGene00020464	tebp-2	protein_coding		
WBGene00020465	T12E12.6	protein_coding	GO:0046872; GO:0008270; GO:0016787; GO:0005737; GO:0006508; GO:0008233; GO:0046662; GO:0008237; GO:0009792; GO:0042277; GO:0043171; GO:1903538; GO:0070006	metal ion binding; zinc ion binding; hydrolase activity; cytoplasm; proteolysis; peptidase activity; regulation of oviposition; metallopeptidase activity; embryo development ending in birth or egg hatching; peptide binding; peptide catabolic process; regulation of meiotic cell cycle process involved in oocyte maturation; metalloaminopeptidase activity
WBGene00020466	sld-2	protein_coding		
WBGene00020467	T12F5.2	protein_coding	GO:0016020	membrane
WBGene00020468	T13A10.1	protein_coding	GO:0016020	membrane
WBGene00020469	T13A10.2	protein_coding	GO:0046872	metal ion binding
WBGene00020471	pho-14	protein_coding		
WBGene00020472	lips-11	protein_coding	GO:0016787; GO:0016042	hydrolase activity; lipid catabolic process
WBGene00020473	lips-12	protein_coding	GO:0016787; GO:0016042	hydrolase activity; lipid catabolic process
WBGene00020474	lips-13	protein_coding	GO:0016787; GO:0016042	hydrolase activity; lipid catabolic process
WBGene00020475	sut-1	protein_coding		
WBGene00020476	T13B5.9	protein_coding	GO:0016020; GO:0046872; GO:0016787; GO:0005737; GO:0004222; GO:0006508; GO:0007155; GO:0008237; GO:0008233	membrane; metal ion binding; hydrolase activity; cytoplasm; metalloendopeptidase activity; proteolysis; cell adhesion; metallopeptidase activity; peptidase activity
WBGene00020478	T13C2.2	protein_coding		
WBGene00020479	T13C2.3	protein_coding		
WBGene00020480	ssup-72	protein_coding	GO:0005634; GO:0006397; GO:0004721	nucleus; mRNA processing; phosphoprotein phosphatase activity
WBGene00020481	T13C2.6	protein_coding	GO:0016020; GO:0005886; GO:0005509; GO:0006897; GO:0005515	membrane; plasma membrane; calcium ion binding; endocytosis; protein binding
WBGene00020482	T13C2.7	protein_coding	GO:0016020	membrane
WBGene00020483	T13C5.2	protein_coding		
WBGene00020484	T13C5.3	protein_coding		
WBGene00020485	ceh-54	protein_coding	GO:0003677; GO:0006355; GO:0000981	DNA binding; regulation of DNA-templated transcription; DNA-binding transcription factor activity, RNA polymerase II-specific
WBGene00020486	T13C5.6	protein_coding	GO:0016020; GO:0046839; GO:0042392	membrane; phospholipid dephosphorylation; sphingosine-1-phosphate phosphatase activity
WBGene00020487	T13C5.7	protein_coding		
WBGene00020488	T13G4.1	protein_coding	GO:0005515	protein binding
WBGene00020489	hot-8	protein_coding		
WBGene00020490	tmc-1	protein_coding	GO:0016020; GO:0005886	membrane; plasma membrane
WBGene00020491	T13G4.4	protein_coding	GO:0046872; GO:0016740; GO:0032259; GO:0008168; GO:0009086; GO:0008898; GO:0033528	metal ion binding; transferase activity; methylation; methyltransferase activity; methionine biosynthetic process; S-adenosylmethionine-homocysteine S-methyltransferase activity; S-methylmethionine cycle
WBGene00020492		pseudogene		
WBGene00020494	T13G4.7	protein_coding	GO:1990904	ribonucleoprotein complex
WBGene00020496	spat-3	protein_coding	GO:0000151; GO:0035518	ubiquitin ligase complex; histone H2A monoubiquitination
WBGene00020497	T14A8.2	protein_coding		
WBGene00020498	T14B4.1	protein_coding	GO:0003723; GO:0032259; GO:0008168; GO:0006396; GO:0016423; GO:0030488; GO:0008173	RNA binding; methylation; methyltransferase activity; RNA processing; tRNA (guanine) methyltransferase activity; tRNA methylation; RNA methyltransferase activity
WBGene00020499	mrps-18.C	protein_coding	GO:0003735; GO:0006412; GO:0005840	structural constituent of ribosome; translation; ribosome
WBGene00020500	T14B4.3	protein_coding	GO:0016020; GO:0005737; GO:0005886; GO:0005789; GO:0005783; GO:0038023; GO:0009897; GO:0043231; GO:0030177; GO:0098588	membrane; cytoplasm; plasma membrane; endoplasmic reticulum membrane; endoplasmic reticulum; signaling receptor activity; external side of plasma membrane; intracellular membrane-bounded organelle; positive regulation of Wnt signaling pathway; bounding membrane of organelle
WBGene00020501	T14B4.5	protein_coding	GO:0016020	membrane
WBGene00020502	T14B4.8	protein_coding		
